"TIME","GEO","CITIZEN","UNIT","Value"
"1997","Belgium","Total","Person","11,790"
"1997","Bulgaria","Total","Person","370"
"1997","Czech Republic","Total","Person","2,110"
"1997","Denmark","Total","Person","5,100"
"1997","Germany (until 1990 former territory of the FRG)","Total","Person","104,355"
"1997","Estonia","Total","Person","0"
"1997","Ireland","Total","Person","3,880"
"1997","Greece","Total","Person","4,375"
"1997","Spain","Total","Person","4,975"
"1997","France","Total","Person","21,415"
"1997","Italy","Total","Person","1,890"
"1997","Cyprus","Total","Person",":"
"1997","Latvia","Total","Person",":"
"1997","Lithuania","Total","Person","240"
"1997","Luxembourg","Total","Person","435"
"1997","Hungary","Total","Person",":"
"1997","Malta","Total","Person","70"
"1997","Netherlands","Total","Person","34,445"
"1997","Austria","Total","Person","6,720"
"1997","Poland","Total","Person","3,580"
"1997","Portugal","Total","Person","250"
"1997","Romania","Total","Person","1,425"
"1997","Slovenia","Total","Person","70"
"1997","Slovakia","Total","Person","645"
"1997","Finland","Total","Person","970"
"1997","Sweden","Total","Person","9,680"
"1997","United Kingdom","Total","Person","32,500"
"1997","Iceland","Total","Person",":"
"1997","Norway","Total","Person","2,270"
"1997","Switzerland","Total","Person","23,795"
"1998","European Union (27 countries)","Total","Person","313,645"
"1998","Belgium","Total","Person","21,965"
"1998","Bulgaria","Total","Person","835"
"1998","Czech Republic","Total","Person","4,085"
"1998","Denmark","Total","Person","5,700"
"1998","Germany (until 1990 former territory of the FRG)","Total","Person","98,645"
"1998","Estonia","Total","Person","25"
"1998","Ireland","Total","Person","4,625"
"1998","Greece","Total","Person","2,950"
"1998","Spain","Total","Person","4,935"
"1998","France","Total","Person","22,375"
"1998","Italy","Total","Person","13,100"
"1998","Cyprus","Total","Person","225"
"1998","Latvia","Total","Person","35"
"1998","Lithuania","Total","Person","160"
"1998","Luxembourg","Total","Person","1,710"
"1998","Hungary","Total","Person","7,120"
"1998","Malta","Total","Person","160"
"1998","Netherlands","Total","Person","45,215"
"1998","Austria","Total","Person","13,805"
"1998","Poland","Total","Person","3,425"
"1998","Portugal","Total","Person","355"
"1998","Romania","Total","Person","1,235"
"1998","Slovenia","Total","Person","335"
"1998","Slovakia","Total","Person","505"
"1998","Finland","Total","Person","1,270"
"1998","Sweden","Total","Person","12,840"
"1998","United Kingdom","Total","Person","46,015"
"1998","Iceland","Total","Person",":"
"1998","Norway","Total","Person","8,375"
"1998","Switzerland","Total","Person","39,885"
"1999","European Union (27 countries)","Total","Person","380,450"
"1999","Belgium","Total","Person","35,780"
"1999","Bulgaria","Total","Person","1,350"
"1999","Czech Republic","Total","Person","7,355"
"1999","Denmark","Total","Person","6,530"
"1999","Germany (until 1990 former territory of the FRG)","Total","Person","94,775"
"1999","Estonia","Total","Person","25"
"1999","Ireland","Total","Person","7,725"
"1999","Greece","Total","Person","1,530"
"1999","Spain","Total","Person","8,405"
"1999","France","Total","Person","30,905"
"1999","Italy","Total","Person","18,450"
"1999","Cyprus","Total","Person","790"
"1999","Latvia","Total","Person","20"
"1999","Lithuania","Total","Person","145"
"1999","Luxembourg","Total","Person","2,930"
"1999","Hungary","Total","Person","11,500"
"1999","Malta","Total","Person","255"
"1999","Netherlands","Total","Person","39,275"
"1999","Austria","Total","Person","20,130"
"1999","Poland","Total","Person","3,060"
"1999","Portugal","Total","Person","305"
"1999","Romania","Total","Person","1,665"
"1999","Slovenia","Total","Person","745"
"1999","Slovakia","Total","Person","1,320"
"1999","Finland","Total","Person","3,105"
"1999","Sweden","Total","Person","11,220"
"1999","United Kingdom","Total","Person","71,160"
"1999","Iceland","Total","Person",":"
"1999","Norway","Total","Person","10,160"
"1999","Switzerland","Total","Person","44,510"
"2000","European Union (27 countries)","Total","Person","406,585"
"2000","Belgium","Total","Person","42,690"
"2000","Bulgaria","Total","Person","1,755"
"2000","Czech Republic","Total","Person","8,790"
"2000","Denmark","Total","Person","10,345"
"2000","Germany (until 1990 former territory of the FRG)","Total","Person","78,565"
"2000","Estonia","Total","Person","5"
"2000","Ireland","Total","Person","10,940"
"2000","Greece","Total","Person","3,085"
"2000","Spain","Total","Person","7,925"
"2000","France","Total","Person","38,745"
"2000","Italy","Total","Person","15,195"
"2000","Cyprus","Total","Person","650"
"2000","Latvia","Total","Person","5"
"2000","Lithuania","Total","Person","305"
"2000","Luxembourg","Total","Person","625"
"2000","Hungary","Total","Person","7,800"
"2000","Malta","Total","Person","160"
"2000","Netherlands","Total","Person","43,895"
"2000","Austria","Total","Person","18,285"
"2000","Poland","Total","Person","4,660"
"2000","Portugal","Total","Person","225"
"2000","Romania","Total","Person","1,365"
"2000","Slovenia","Total","Person","9,245"
"2000","Slovakia","Total","Person","1,555"
"2000","Finland","Total","Person","3,170"
"2000","Sweden","Total","Person","16,285"
"2000","United Kingdom","Total","Person","80,315"
"2000","Iceland","Total","Person",":"
"2000","Norway","Total","Person","10,845"
"2000","Switzerland","Total","Person","17,705"
"2001","European Union (27 countries)","Total","Person","424,180"
"2001","Belgium","Total","Person","24,505"
"2001","Bulgaria","Total","Person","2,430"
"2001","Czech Republic","Total","Person","18,095"
"2001","Denmark","Total","Person","12,510"
"2001","Germany (until 1990 former territory of the FRG)","Total","Person","88,285"
"2001","Estonia","Total","Person","10"
"2001","Ireland","Total","Person","10,325"
"2001","Greece","Total","Person","5,500"
"2001","Spain","Total","Person","9,490"
"2001","France","Total","Person","47,290"
"2001","Italy","Total","Person","17,400"
"2001","Cyprus","Total","Person","1,620"
"2001","Latvia","Total","Person","15"
"2001","Lithuania","Total","Person","425"
"2001","Luxembourg","Total","Person","685"
"2001","Hungary","Total","Person","9,555"
"2001","Malta","Total","Person","155"
"2001","Netherlands","Total","Person","32,580"
"2001","Austria","Total","Person","30,125"
"2001","Poland","Total","Person","4,480"
"2001","Portugal","Total","Person","235"
"2001","Romania","Total","Person","2,280"
"2001","Slovenia","Total","Person","1,510"
"2001","Slovakia","Total","Person","8,150"
"2001","Finland","Total","Person","1,650"
"2001","Sweden","Total","Person","23,500"
"2001","United Kingdom","Total","Person","71,365"
"2001","Iceland","Total","Person",":"
"2001","Norway","Total","Person","14,770"
"2001","Switzerland","Total","Person","19,405"
"2002","European Union (27 countries)","Total","Person","421,470"
"2002","Belgium","Total","Person","18,800"
"2002","Bulgaria","Total","Person","2,890"
"2002","Czech Republic","Total","Person","8,485"
"2002","Denmark","Total","Person","5,945"
"2002","Germany (until 1990 former territory of the FRG)","Total","Person","71,125"
"2002","Estonia","Total","Person","10"
"2002","Ireland","Total","Person","11,635"
"2002","Greece","Total","Person","5,665"
"2002","Spain","Total","Person","6,310"
"2002","France","Total","Person","51,085"
"2002","Italy","Total","Person","16,015"
"2002","Cyprus","Total","Person","950"
"2002","Latvia","Total","Person","25"
"2002","Lithuania","Total","Person","365"
"2002","Luxembourg","Total","Person","1,040"
"2002","Hungary","Total","Person","6,410"
"2002","Malta","Total","Person","350"
"2002","Netherlands","Total","Person","18,665"
"2002","Austria","Total","Person","39,355"
"2002","Poland","Total","Person","5,170"
"2002","Portugal","Total","Person","245"
"2002","Romania","Total","Person","1,000"
"2002","Slovenia","Total","Person","650"
"2002","Slovakia","Total","Person","9,745"
"2002","Finland","Total","Person","3,445"
"2002","Sweden","Total","Person","33,015"
"2002","United Kingdom","Total","Person","103,080"
"2002","Iceland","Total","Person",":"
"2002","Norway","Total","Person","17,480"
"2002","Switzerland","Total","Person","24,430"
"2003","European Union (27 countries)","Total","Person","344,800"
