"TIME","GEO","CITIZEN","UNIT","Value"
"1999M08","Belgium","Total","Person","4,345"
"1999M08","Bulgaria","Total","Person",":"
"1999M08","Czechia","Total","Person",":"
"1999M08","Denmark","Total","Person","390"
"1999M08","Germany (until 1990 former territory of the FRG)","Total","Person","8,905"
"1999M08","Estonia","Total","Person",":"
"1999M08","Ireland","Total","Person","960"
"1999M08","Greece","Total","Person","65"
"1999M08","Spain","Total","Person","480"
"1999M08","France","Total","Person","2,845"
"1999M08","Italy","Total","Person",":"
"1999M08","Cyprus","Total","Person",":"
"1999M08","Latvia","Total","Person",":"
"1999M08","Lithuania","Total","Person",":"
"1999M08","Luxembourg","Total","Person","80"
"1999M08","Hungary","Total","Person",":"
"1999M08","Malta","Total","Person",":"
"1999M08","Netherlands","Total","Person","3,525"
"1999M08","Austria","Total","Person","1,635"
"1999M08","Poland","Total","Person",":"
"1999M08","Portugal","Total","Person","20"
"1999M08","Romania","Total","Person",":"
"1999M08","Slovenia","Total","Person",":"
"1999M08","Slovakia","Total","Person",":"
"1999M08","Finland","Total","Person","90"
"1999M08","Sweden","Total","Person","1,045"
"1999M08","United Kingdom","Total","Person","7,120"
"1999M08","Iceland","Total","Person",":"
"1999M08","Norway","Total","Person",":"
"1999M08","Turkey","Total","Person",":"
"1999M09","European Union - 15 countries (1995-2004)","Total","Person",":"
"1999M09","Belgium","Total","Person","4,745"
"1999M09","Bulgaria","Total","Person",":"
"1999M09","Czechia","Total","Person",":"
"1999M09","Denmark","Total","Person","410"
"1999M09","Germany (until 1990 former territory of the FRG)","Total","Person","8,430"
"1999M09","Estonia","Total","Person",":"
"1999M09","Ireland","Total","Person","940"
"1999M09","Greece","Total","Person","255"
"1999M09","Spain","Total","Person","670"
"1999M09","France","Total","Person","2,855"
"1999M09","Italy","Total","Person",":"
"1999M09","Cyprus","Total","Person",":"
"1999M09","Latvia","Total","Person",":"
"1999M09","Lithuania","Total","Person",":"
"1999M09","Luxembourg","Total","Person","85"
"1999M09","Hungary","Total","Person",":"
"1999M09","Malta","Total","Person",":"
"1999M09","Netherlands","Total","Person","3,445"
