freq,unit,citizen,sex,age,decision,geo\TIME_PERIOD	2008-Q1 	2008-Q2 	2008-Q3 	2008-Q4 	2009-Q1 	2009-Q2 	2009-Q3 	2009-Q4 	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,IS	0 	10 	15 	25 	5 	10 	5 	15 	0 	10 	0 	5 	5 	5 	15 	10 	10 	15 	20 	25 	20 	45 	25 	40 	10 	15 	10 	20 	50 	15 	50 	80 	65 	95 	115 	265 	95 	70 	95 	125 	100 	75 	100 	105 	145 	140 	215 	210 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,IT	3230 	4385 	5560 	7045 	7710 	7150 	4005 	4145 	3255 	2720 	2290 	3010 	3215 	5455 	7185 	8245 	4495 	4335 	2920 	15530 	6710 	6315 	4805 	5735 	7380 	8650 	9405 	9750 	10625 	13760 	19645 	27310 	23145 	24360 	20050 	22320 	18910 	19160 	18590 	21570 	22850 	24775 	24390 	23195 	21620 	26395 	23140 	22330 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,LI	5 	0 	5 	0 	5 	5 	20 	45 	50 	30 	5 	0 	5 	15 	15 	10 	10 	10 	20 	10 	10 	5 	10 	15 	5 	5 	0 	0 	10 	0 	10 	5 	20 	10 	20 	25 	10 	5 	10 	20 	10 	10 	15 	10 	5 	5 	10 	10 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,LT	20 	20 	25 	35 	75 	35 	25 	10 	30 	30 	15 	110 	65 	25 	100 	115 	80 	130 	100 	80 	45 	40 	55 	30 	50 	30 	35 	65 	30 	60 	35 	55 	40 	40 	60 	145 	125 	105 	100 	40 	100 	75 	65 	30 	70 	65 	110 	75 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,LU	125 	170 	110 	85 	110 	80 	135 	145 	155 	75 	105 	135 	230 	275 	180 	330 	535 	445 	190 	475 	430 	260 	280 	280 	215 	240 	175 	255 	250 	185 	150 	195 	205 	245 	390 	410 	380 	480 	440 	415 	345 	435 	365 	265 	370 	240 	305 	260 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,LV	5 	0 	5 	0 	15 	0 	10 	15 	15 	15 	5 	15 	15 	20 	15 	40 	65 	30 	30 	25 	35 	25 	10 	25 	25 	30 	15 	25 	20 	45 	75 	30 	65 	50 	75 	70 	130 	120 	85 	30 	20 	45 	30 	30 	30 	40 	25 	55 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,MT	610 	555 	940 	580 	700 	685 	490 	700 	210 	30 	65 	40 	35 	520 	570 	480 	250 	105 	510 	725 	535 	340 	340 	690 	565 	415 	300 	455 	330 	295 	370 	500 	490 	360 	390 	195 	395 	180 	215 	320 	300 	335 	370 	490 	385 	200 	285 	170 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,NL	2360 	3020 	3080 	2465 	3780 	3850 	5155 	4780 	4185 	4605 	4495 	4295 	3905 	3890 	3835 	4150 	4030 	3020 	3265 	3350 	2770 	2675 	2970 	3775 	3250 	3600 	5655 	6290 	5615 	3090 	4035 	7730 	8985 	8430 	7185 	4275 	4495 	4445 	3650 	3350 	2700 	2490 	2345 	2750 	3175 	3470 	2925 	3365 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,NO	1540 	2005 	2030 	3405 	3065 	3015 	4005 	4600 	4225 	3775 	3845 	3615 	3050 	2275 	1895 	2330 	3115 	2215 	2520 	2755 	2580 	2665 	2760 	3775 	2110 	1485 	1950 	2095 	2275 	1935 	2165 	3095 	2755 	5695 	5735 	5125 	3055 	1740 	965 	940 	445 	555 	415 	700 	525 	610 	685 	630 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,PL	1340 	1290 	520 	1095 	1695 	1555 	1785 	1545 	1170 	1275 	1080 	895 	750 	860 	815 	790 	695 	500 	595 	685 	610 	660 	960 	665 	670 	595 	540 	890 	920 	965 	970 	655 	600 	620 	615 	645 	835 	745 	435 	585 	845 	650 	570 	435 	600 	470 	425 	500 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,PT	35 	30 	25 	20 	30 	40 	10 	15 	35 	30 	30 	35 	30 	15 	25 	45 	55 	60 	50 	65 	65 	100 	85 	50 	40 	40 	55 	90 	65 	55 	145 	105 	185 	110 	165 	135 	155 	365 	185 	250 	250 	190 	175 	425 	130 	190 	200 	220 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,RO	95 	110 	180 	285 	200 	105 	115 	120 	120 	45 	85 	175 	105 	190 	385 	400 	455 	485 	515 	170 	365 	390 	365 	315 	295 	345 	340 	605 	265 	460 	315 	285 	245 	250 	305 	495 	430 	505 	620 	510 	335 	280 	275 	405 	260 	295 	265 	495 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,SE	6105 	7240 	6365 	9750 	5895 	5370 	5165 	7490 	5850 	6465 	6145 	9180 	5430 	5865 	5310 	7210 	6015 	5760 	5650 	7895 	6965 	9160 	8110 	11710 	10010 	9395 	9810 	10690 	9630 	11590 	12385 	14965 	14070 	19765 	23785 	38150 	11725 	13435 	15105 	20800 	10410 	7935 	5310 	7675 	5380 	5085 	4565 	5695 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,SI	60 	35 	25 	35 	35 	35 	30 	25 	20 	25 	25 	45 	30 	70 	50 	55 	30 	50 	60 	65 	60 	55 	45 	35 	15 	30 	20 	25 	30 	30 	15 	55 	50 	65 	70 	80 	75 	75 	50 	40 	75 	75 	50 	35 	45 	50 	50 	70 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,SK	110 	70 	95 	95 	45 	125 	75 	70 	75 	70 	75 	75 	45 	70 	40 	60 	100 	55 	110 	180 	50 	50 	50 	45 	70 	90 	55 	65 	40 	50 	20 	20 	165 	20 	35 	30 	40 	20 	10 	25 	10 	25 	15 	35 	25 	20 	20 	20 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,TOTAL	47365 d	56280 d	58415 d	68425 d	61840 d	64335 d	64580 d	65520 d	60850 d	63265 d	62555 d	66315 d	60785 	62125 	63175 	72295 	73850 	70325 	66745 	98730 	75695 	81620 	86235 	99240 	89055 	89450 	95105 	122745 	134875 	132035 	147935 	213345 	249345 	246460 	291780 	361310 	302495 	276790 	204665 	201015 	170810 	147355 	137735 	145535 	145155 	135455 	147300 	156945 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,UK	5315 	6200 	6495 	5770 	6350 	7205 	9385 	8150 	7050 	6835 	6475 	6305 	6400 	5485 	5645 	5425 	6065 	5175 	5280 	5480 	6715 	6345 	5415 	3970 	3590 	4705 	8115 	9410 	12720 	8055 	8590 	8705 	8155 	7480 	7600 	7680 	7670 	6445 	6635 	7095 	8345 	7175 	6890 	6590 	7590 	6855 	6975 	7105 	: 	: 
Q,PER,TOTAL,T,TOTAL,TOTAL,AT	3480 	3085 	2735 	3395 	3785 	3620 	3620 	3820 	3740 	3495 	3385 	3160 	3245 	2930 	3385 	3710 	4010 	3520 	3995 	4380 	4240 	4410 	4460 	3525 	695 	1945 	2375 	4390 	4315 	5325 	5085 	6375 	7750 	10790 	10530 	13350 	10955 	10655 	11540 	12010 	11195 	9925 	7325 	6075 	4905 	3340 	3015 	2635 	2655 	2040 
Q,PER,TOTAL,T,TOTAL,TOTAL,BE	3185 	3735 	2915 	3785 	3460 	3680 	3835 	4335 	3860 	3670 	4100 	5040 	4935 	3930 	4455 	6710 	6520 	6370 	5760 	5985 	5770 	5295 	4740 	5700 	5100 	4725 	4850 	5740 	5055 	4705 	4425 	5270 	6235 	6925 	5740 	6110 	6195 	6250 	5735 	5890 	5395 	5910 	3745 	4000 	4255 	3850 	3685 	5405 	4890 	3900 
Q,PER,TOTAL,T,TOTAL,TOTAL,BG	155 	220 	235 	60 	125 	150 	220 	150 	140 	120 	125 	135 	115 	115 	105 	270 	155 	170 	175 	140 	255 	340 	670 	1545 	2865 	1445 	1005 	2120 	1195 	2160 	2000 	820 	380 	435 	865 	1365 	1360 	1955 	900 	525 	410 	390 	535 	770 	160 	420 	330 	340 	305 	205 
Q,PER,TOTAL,T,TOTAL,TOTAL,CH	1580 	2135 	1865 	1975 	1925 	2340 	3105 	3325 	4280 	4855 	3265 	2695 	3145 	3210 	4180 	3755 	4735 	4290 	3830 	3920 	3990 	4545 	3845 	4305 	5850 	5545 	5015 	5450 	5900 	5510 	5025 	5425 	6165 	6020 	5060 	5355 	4370 	3965 	3945 	3970 	4095 	4490 	4355 	4090 	2610 	3020 	3285 	3420 	3320 	2590 
